external_id,person_id,source,full_name
0002abb921a32cd5cc9fa312c7a4b745adfa2ecb223d9604d24fed35,10338,candidates,Lisa R. Gore
0008c0d565f6c4a323476b3c6069bce4f2381226dab8b6008f2b8f31,10274,candidates,Monique T. Diop
000da11f83dbb57848c65489300d62d92c8594453377e00165bd403c,10482,candidate_votes,Zachary Israel
001d836805f81df0f714845c2acc5eb0b10b0ec655e3fd64034dbbde,11695,candidate_votes,Chanettia Nelson
002f1be1ab3245300aaa864b269afe27b009c64630f21c341c7047dc,11817,candidate_votes,Nicole G. Jones
00454e5414e1d03483215e2965f220a938e84b3fbc4587aca2fd7fb0,10012,write_in_winners,Jason Clock
00969a9abd072c6fc2c620ae89aad6b3b60ee63648b21c4312d52608,10406,candidates,Vince Van
00b9471f9d80621a6ce2a6a9d6a0f4cab24d597b1c44167fe9939ab0,10369,candidate_votes,Latoya Moore
00f1932368d1e4be49ba75b8d66c4827a42c7e9612a45b6f526e788e,10153,candidate_votes,Gayle Carley
00f60fad3aa3ae9685bb99e02f087659003eda63be2a2835a9505115,11515,candidates,Steven McCarty
00f90434574396a32565de0bd729e840fdea45ffb9b5d754e6f8c6a5,10459,candidate_votes,"Shekita ""Ki-Ki"" McBroom"
0108bddf54490424d8892d7539fc0070e52e938f1007fdf3cc364385,10266,candidate_votes,"Robbie ""The Advocate"" Woodland"
011a6fa3df156131be0d25998393a63ffdab4073396ecd5e1f30cbee,10188,candidate_votes,Brian Alcorn
014cac4dd905f3c85a0b269bf43a352ebe04c08b102b7ab7c286cf27,10203,candidates,Drew Courtney
0172c51af2c7aef6650f263e7af788ca7b5a81664a0d56c04b1cb63d,11732,candidate_votes,Tyler Lopez
0178628aaf1140ab5d4f007f29b3af6bec661241a5dd6efc453d1ae2,10633,candidate_votes,Jeff Rueckgauer
018c9df97528dd8ea94439b861f8f395ad8002542da4211750d7d001,10562,candidate_votes,Sally Hobaugh
01a67298f5396ba7ae37fbf3d5cdbdcb1e2cfbfadd0d10a1079fe55c,11404,candidates,Melody Moore
01c8d54c01cb564c911d8cbd8bc833999daaca4dcaceaa3143ac6b5f,11799,candidates,Rene Neal
01e132aafe7d622b9d38ad4623c7788b437dc28e6e29976a1eafcbbf,11654,candidates,Kelly Willis
01ea4a87c8ecd1cc9b954b938e1543668ba87dca4be7f70a5df5f479,10061,candidate_votes,Lisa Palmer
01fe4e75f9bacc2fb7d01a9bd04f0a9d47a8668c3666838aff89615f,11885,write_in_winners,Jean Evans
02647cfc9fba7e5e15efc35629f391c7cb0be97813d4e85b12aec1bd,10484,candidates,Rico Dancy
029a34d77979295d0206e7ce633ca02ba1bc775156391057c85158fe,10179,candidate_votes,Dianne Barnes
02a905c54d515ca7e094d11a3306e0769deb2a61d82201b1d4c417cb,10441,candidate_votes,Shaquan Hudson
02a92321181ce16e5e7870d6ade0b0ca99a3d36aaf33b97c6cbd0c90,11562,candidate_votes,
02ad2d9a6bafbdcbfdd95e2efaf20814c206be9005125885e29da054,10164,candidate_votes,Jeremiah Montague Jr.
02bcce508769eddaaa94030d009352f89c6de8eccd286a1f31c5c6bd,10991,candidate_votes,Timothy Thomas
02c21d554ada077db29576f8c6846dae7b397d429fc74e87b161481f,11353,candidates,Matt LaFortune
02ccc5fe2c28536f5f853de1cd4e3bdc13e044fdde2237fba89d960f,11661,candidates,Xavier Lee
02cd17604d81373032a42689df71117eee820942252b50f3f6154550,10598,candidates,Ashley R. Ruff
02e6b5fe5a3b90e0e127424a0522cc3655ae94459ad129d9cdf2eb56,11494,candidates,Maxine Davis
