smd_id,contest_number,candidate_name,votes,candidate_name_upper,dcboe_hash_id,ranking,winner,write_in_winner,total_votes,vote_share,winning_votes,winning_vote_percentage,smd_id_shifted,votes_shifted,vote_share_shifted,margin_of_victory,margin_of_victory_percentage,num_candidates,match_score,match_person_id,match_full_name,match_smd_id,person_id
smd_2022_1A01,18,Max Ewart,472,MAX EWART,5562e6cb282ae08f0a57700a9f21b2ac6b13b6082f4088e65f72b649,1.0,True,False,479,0.9853862212943633,472,0.9853862212943633,smd_2022_1A01,7.0,0.014613778705636743,465.0,0.9707724425887265,2,100.0,10460.0,Max Ewart,smd_2022_1A01,10460.0
smd_2022_1A01,18,Write-in,7,WRITE-IN,3fe498bd427542a3d129749bd0ad4409c7bf704b911158de906ca568,2.0,False,False,479,0.014613778705636743,472,0.9853862212943633,smd_2022_1A02,405.0,0.9759036144578314,-465,-0.9707724425887265,2,,,,,
smd_2022_1A02,19,Dieter Lehmann Morales,405,DIETER LEHMANN MORALES,dcca894eb6fbad029f0602aea05dba22af14b0866045b711be6429b4,1.0,True,False,415,0.9759036144578314,405,0.9759036144578314,smd_2022_1A02,10.0,0.024096385542168676,395.0,0.9518072289156627,2,100.0,10285.0,Dieter Lehmann Morales,smd_2022_1A02,10285.0
smd_2022_1A02,19,Write-in,10,WRITE-IN,d150179dc346bc3fda316b31c540fba347400a0d2f5b1368af45400b,2.0,False,False,415,0.024096385542168676,405,0.9759036144578314,smd_2022_1A03,288.0,0.972972972972973,-395,-0.9518072289156627,2,,,,,
smd_2022_1A03,20,Carlo Perri,288,CARLO PERRI,f9e78f92331964dbb13882c00022c44b62a83a73673a072bad3ba714,1.0,True,False,296,0.972972972972973,288,0.972972972972973,smd_2022_1A03,8.0,0.02702702702702703,280.0,0.945945945945946,2,100.0,11345.0,Carlo Perri,smd_2022_1A03,11345.0
smd_2022_1A03,20,Write-in,8,WRITE-IN,936d676bbb9f6fee6970b450d91e355cd18a4fa61b5ebfc0da702e01,2.0,False,False,296,0.02702702702702703,288,0.972972972972973,smd_2022_1A04,499.0,0.9708171206225681,-280,-0.945945945945946,2,,,,,
smd_2022_1A04,21,Jeremy Sherman,499,JEREMY SHERMAN,1088a5b7560f9a6cdccb70b673efd8f2422cb8a8311aafabc99e2c65,1.0,True,False,514,0.9708171206225681,499,0.9708171206225681,smd_2022_1A04,15.0,0.029182879377431907,484.0,0.9416342412451362,2,100.0,11371.0,Jeremy Sherman,smd_2022_1A04,11371.0
smd_2022_1A04,21,Write-in,15,WRITE-IN,e7a8c10f3fa5d85c0620fa09361b8b42776bf61e845c9e6a87e7492e,2.0,False,False,514,0.029182879377431907,499,0.9708171206225681,smd_2022_1A05,339.0,0.9826086956521739,-484,-0.9416342412451362,2,,,,,
smd_2022_1A05,22,Stephen Coleman Kenny,339,STEPHEN COLEMAN KENNY,d84a47f58fa9fd4e3d347fadbfd177f3a344945eca2c04f4bb3d0933,1.0,True,False,345,0.9826086956521739,339,0.9826086956521739,smd_2022_1A05,6.0,0.017391304347826087,333.0,0.9652173913043478,2,100.0,11417.0,Stephen Coleman Kenny,smd_2022_1A05,11417.0
smd_2022_1A05,22,Write-in,6,WRITE-IN,237ce5ddb3be237a0b78ce7a27f0b633fce390026094b6e4a881a822,2.0,False,False,345,0.017391304347826087,339,0.9826086956521739,smd_2022_1A06,145.0,1.0,-333,-0.9652173913043478,2,,,,,
smd_2022_1A06,23,Write-in,145,WRITE-IN,41c213706e8ed8de526126034cea5f146000a906435b36854a8c09b7,1.0,True,True,145,1.0,145,1.0,smd_2022_1A07,491.0,0.9646365422396856,0,0.0,1,,,,,
smd_2022_1A07,24,Mukta Ghorpadey,491,MUKTA GHORPADEY,b63a759dcd36681ec5b12faa2328e6f6772fe3324e1e20e531289fd2,1.0,True,False,509,0.9646365422396856,491,0.9646365422396856,smd_2022_1A07,18.0,0.03536345776031434,473.0,0.9292730844793713,2,100.0,10290.0,Mukta Ghorpadey,smd_2022_1A07,10290.0
smd_2022_1A07,24,Write-in,18,WRITE-IN,7f481707ab3d2e5945c1cca80d5f5746ecc73cf0ede5d2c087ee2944,2.0,False,False,509,0.03536345776031434,491,0.9646365422396856,smd_2022_1A08,346.0,0.969187675070028,-473,-0.9292730844793713,2,,,,,
smd_2022_1A08,25,David Segall,346,DAVID SEGALL,47a5811fa7a6d808a422315964bbe2ec06c6492742f3ffaa0e7d0b62,1.0,True,False,357,0.969187675070028,346,0.969187675070028,smd_2022_1A08,11.0,0.03081232492997199,335.0,0.938375350140056,2,100.0,11512.0,David Segall,smd_2022_1A08,11512.0
smd_2022_1A08,25,Write-in,11,WRITE-IN,40fb0e49962a82ca862ad7b5ce99dc9c360a53c8ce67bb962e52c4a7,2.0,False,False,357,0.03081232492997199,346,0.969187675070028,smd_2022_1A09,402.0,0.9571428571428572,-335,-0.938375350140056,2,,,,,
smd_2022_1A09,26,James A. Turner,402,JAMES A. TURNER,cff994565f00e16b5710be29eb2d662aec7cbc9003e8c900a5b5d574,1.0,True,False,420,0.9571428571428572,402,0.9571428571428572,smd_2022_1A09,18.0,0.04285714285714286,384.0,0.9142857142857144,2,100.0,10020.0,James A. Turner,smd_2022_1A09,10020.0
smd_2022_1A09,26,Write-in,18,WRITE-IN,2a723c25b7e04c94cbafd0fcb91a285c314378de0bce8565e3fb6363,2.0,False,False,420,0.04285714285714286,402,0.9571428571428572,smd_2022_1A10,302.0,0.5644859813084112,-384,-0.9142857142857144,2,,,,,
smd_2022_1A10,27,Billy Easley,302,BILLY EASLEY,535506ac27876a3d8309f3853dc0eb532e9a883ef52fbd41ab6057ac,1.0,True,False,535,0.5644859813084112,302,0.5644859813084112,smd_2022_1A10,225.0,0.4205607476635514,77.0,0.14392523364485982,3,100.0,11461.0,Billy Easley,smd_2022_1A10,11461.0
smd_2022_1A10,27,Dotti Love Wade,225,DOTTI LOVE WADE,3397ae40dc54d42a2c5e137488a9fce16554282f7d9151f564e10891,2.0,False,False,535,0.4205607476635514,302,0.5644859813084112,smd_2022_1A10,8.0,0.014953271028037384,-77,-0.14392523364485982,3,100.0,10011.0,Dotti Love Wade,smd_2022_1A10,10011.0
smd_2022_1A10,27,Write-in,8,WRITE-IN,b0dd7e97cfbc4d5421160f3075702352b94ff32b62f2914b11d2dc79,3.0,False,False,535,0.014953271028037384,302,0.5644859813084112,smd_2022_1B01,606.0,0.9742765273311897,-294,-0.5495327102803739,3,,,,,
smd_2022_1B01,28,Larry Handerhan,606,LARRY HANDERHAN,53c43e04e143f15447dd1458a1ae654b2a2091a01838d999d62d7ca0,1.0,True,False,622,0.9742765273311897,606,0.9742765273311897,smd_2022_1B01,16.0,0.02572347266881029,590.0,0.9485530546623795,2,100.0,10468.0,Larry Handerhan,smd_2022_1B01,10468.0
smd_2022_1B01,28,Write-in,16,WRITE-IN,986724b0127c1ed413b3ff2aadab43a14d29a1568b8a67c02adfdeea,2.0,False,False,622,0.02572347266881029,606,0.9742765273311897,smd_2022_1B02,558.0,0.9670710571923743,-590,-0.9485530546623795,2,,,,,
smd_2022_1B02,29,Sean Holihan,558,SEAN HOLIHAN,06ad2150fe0ec19e06065c4f0d71a2e680086b09fcf06c11e4d38cd4,1.0,True,False,577,0.9670710571923743,558,0.9670710571923743,smd_2022_1B02,19.0,0.03292894280762565,539.0,0.9341421143847486,2,100.0,11416.0,Sean Holihan,smd_2022_1B02,11416.0
smd_2022_1B02,29,Write-in,19,WRITE-IN,6b2805f0a8a07da36d9447c9975647ab692a339ec035fa54c777e426,2.0,False,False,577,0.03292894280762565,558,0.9670710571923743,smd_2022_1B03,492.0,0.9498069498069498,-539,-0.9341421143847486,2,,,,,
smd_2022_1B03,30,Jamie S. Sycamore,492,JAMIE S. SYCAMORE,55499d2334ea9ad1e6534b7d6fc2dc9ba532718f3f779a7843b8e138,1.0,True,False,518,0.9498069498069498,492,0.9498069498069498,smd_2022_1B03,26.0,0.05019305019305019,466.0,0.8996138996138996,2,100.0,11366.0,Jamie S. Sycamore,smd_2022_1B03,11366.0
smd_2022_1B03,30,Write-in,26,WRITE-IN,fd1a43e0359d11981144303bdcd04a759856498170bcf152227109b5,2.0,False,False,518,0.05019305019305019,492,0.9498069498069498,smd_2022_1B04,577.0,0.7257861635220125,-466,-0.8996138996138996,2,,,,,
smd_2022_1B04,31,Santiago Lakatos,577,SANTIAGO LAKATOS,e6a743941dcab42f5463300cd61818373ecee75384a9f4a415ec04c5,1.0,True,False,795,0.7257861635220125,577,0.7257861635220125,smd_2022_1B04,201.0,0.2528301886792453,376.0,0.47295597484276725,3,100.0,11358.0,Santiago Lakatos,smd_2022_1B04,11358.0
smd_2022_1B04,31,Harry Quinton,201,HARRY QUINTON,6fb27b5c77993ff134e0ae8e1b9bb06cdd40df290b43add54910397c,2.0,False,False,795,0.2528301886792453,577,0.7257861635220125,smd_2022_1B04,17.0,0.021383647798742137,-376,-0.47295597484276725,3,100.0,11522.0,Harry Quinton,smd_2022_1B04,11522.0
smd_2022_1B04,31,Write-in,17,WRITE-IN,7204b0b29cc9bbfc10ed57402dd8c56c82c72fe85e0229f32cf6e718,3.0,False,False,795,0.021383647798742137,577,0.7257861635220125,smd_2022_1B05,156.0,1.0,-560,-0.7044025157232704,3,,,,,
